,BedNumber,BathNumber,HouseSize,LotSize,ZipCode,Price
81,2.0,2.5,2803.0,43213.5,"Los Angeles, CA 90024",2150000.0
82,4.0,3.0,2185.0,4243.0,"Venice, CA 90291",2897000.0
83,4.0,4.5,2400.0,7413.0,"Los Angeles, CA 90064",1799999.0
84,3.0,2.5,1311.0,184639.50000000003,"Sylmar, CA 91342",448000.0
85,3.0,1.0,952.0,3427.0,,389000.0
86,2.0,2.0,1806.0,6749.0,"Los Angeles, CA 90043",750000.0
87,2.0,2.0,1152.0,1799.0,"Los Angeles, CA 90029",849000.0
88,3.0,2.0,1354.0,5499.0,"Sun Valley, CA 91352",755000.0
89,3.0,2.0,1633.0,4990.0,"Los Angeles, CA 90063",799000.0
90,2.0,2.5,1551.0,61546.5,"Northridge, CA 91326",580000.0
91,2.0,3.0,971.0,16150.5,"Toluca Lake, CA 91602",549999.0
92,4.0,4.0,3880.0,30118.499999999996,"Shadow Hills, CA 91040",1595900.0
93,3.0,2.5,1360.0,6381.0,"Woodland Hills, CA 91364",924900.0
94,3.0,2.0,1684.0,5452.0,"Los Angeles, CA 90047",699999.0
95,4.0,2.0,1200.0,,"Reseda, CA 91335",773000.0
96,2.0,1.5,1563.0,13531.5,"Los Angeles, CA 90064",899000.0
97,4.0,4.0,2050.0,1996.0,"Torrance, CA 90501",795000.0
98,4.0,2.0,1886.0,10912.5,"Chatsworth, CA 91311",1099000.0
99,2.0,1.0,1102.0,7500.0,"Los Angeles, CA 90041",950000.0
100,4.0,4.0,2130.0,6778.0,"Los Angeles, CA 90019",1650000.0
101,3.0,3.0,1758.0,2333.0,"Harbor City, CA 90710",765000.0
102,4.0,3.0,1863.0,7493.0,"Winnetka, CA 91306",899000.0
103,3.0,3.0,1874.0,4334.0,"Los Angeles, CA 90068",1645000.0
104,3.0,2.0,1269.0,6425.0,"Los Angeles, CA 90065",999000.0
105,3.0,2.0,1433.0,7177.0,"Mission Hills, CA 91345",879000.0
106,2.0,2.5,1582.0,67221.0,"Marina del Rey, CA 90292",975000.0
107,3.0,2.0,1427.0,7822.0,"Granada Hills, CA 91344",850000.0
108,4.0,3.0,2085.0,8664.0,"Van Nuys, CA 91401",1200000.0
109,4.0,3.0,2657.0,6996.0,"Sherman Oaks, CA 91423",1650000.0
110,2.0,3.5,1767.0,6926.0,"Los Angeles, CA 90038",1199000.0
111,11.0,8.0,6593.0,6813.0,"Los Angeles, CA 90038",2250000.0
112,8.0,4.0,3094.0,10039.5,"Torrance, CA 90501",1100000.0
113,9.0,6.0,2940.0,5889.0,"Los Angeles, CA 90018",1600000.0
114,3.0,2.5,1640.0,6839.0,"Los Angeles, CA 90025",995000.0
